Date,MSFT.Close,unrate
Jan-21,NA,6.3
Feb-21,0.004109586,6.2
Mar-21,0.014482715,6.1
Apr-21,0.067286365,6.1
May-21,-0.007656588,5.8
Jun-21,0.081569774,5.9
Jul-21,0.050423607,5.4
Aug-21,0.059768757,5.2
Sep-21,-0.068406204,4.8
Oct-21,0.162366274,4.5
Nov-21,-0.001282921,4.2
Dec-21,0.017184255,3.9
Jan-22,-0.078334614,4
Feb-22,-0.037922067,3.8
Mar-22,0.031364809,3.6
Apr-22,-0.105212771,3.6
May-22,-0.018242595,3.6
Jun-22,-0.056909618,3.6
Jul-22,0.089014599,3.5
Aug-22,-0.068989078,3.7
Sep-22,-0.11571039,3.5
Oct-22,-0.003311601,3.7
Nov-22,0.097329063,3.6
Dec-22,-0.061923768,3.5
